会場コード,会場,日付,レース,締切時刻,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,M番,M2率,B番,B2率,今節成績,早見
16,児島,2025/05/07,1,10:44,1,4563,齋藤真之,37,岡山,55,B1,3.46,17.65,4.58,24.5,25,36.00,20,38.67,6 616,9
16,児島,2025/05/07,1,10:44,2,3949,今出晋二,49,岡山,57,B1,3.83,14.08,4.43,17.5,62,26.32,68,25.33,5 164,7
16,児島,2025/05/07,1,10:44,3,3462,竹上真司,57,岡山,52,B1,3.60,15.00,4.93,40.0,28,25.35,72,24.32,4 561,6
16,児島,2025/05/07,1,10:44,4,4562,阪本勇介,37,岡山,54,B1,4.41,21.21,4.82,25.2,11,33.33,75,30.56,461 54,
16,児島,2025/05/07,1,10:44,5,5374,木山大聖,22,岡山,51,B2,1.31,0.00,2.00,0.0,31,30.14,48,29.58,6 665,5
16,児島,2025/05/07,1,10:44,6,4202,浮田圭浩,42,岡山,52,B1,4.71,29.73,4.56,29.0,58,33.33,66,41.43,534 56,8
16,児島,2025/05/07,2,11:12,1,3436,柏野幸二,56,岡山,50,A2,5.27,27.91,5.20,35.0,61,33.33,74,47.06,3 1145,
16,児島,2025/05/07,2,11:12,2,3933,山地正樹,48,岡山,57,B1,5.09,34.69,5.83,42.1,20,29.63,21,43.48,454 56,6
16,児島,2025/05/07,2,11:12,3,4098,赤澤文香,43,岡山,48,B1,4.54,22.81,4.38,17.2,23,35.90,60,34.78,6 334,9
16,児島,2025/05/07,2,11:12,4,4180,上野秀和,42,福岡,58,B1,4.72,29.73,3.11,11.1,29,32.47,14,27.14,5 446,8
16,児島,2025/05/07,2,11:12,5,3982,福田　理,47,岡山,55,B1,4.21,19.44,4.34,22.3,32,37.33,49,38.24,465 2,7
16,児島,2025/05/07,2,11:12,6,5356,長谷川暖,20,岡山,52,B1,2.64,5.56,2.27,0.0,70,46.84,28,27.14,443 33,
16,児島,2025/05/07,3,11:42,1,3746,岡瀬正人,50,岡山,53,A2,6.10,43.70,5.98,41.5,68,26.58,70,33.33,26652,
16,児島,2025/05/07,3,11:42,2,4234,野相弘司,41,福岡,58,B1,4.78,26.14,4.89,21.0,22,26.92,69,45.59,5 555,9
16,児島,2025/05/07,3,11:42,3,4441,末永由楽,38,岡山,52,A1,6.26,41.32,6.35,43.1,18,25.00,13,30.00,5 2135,10
16,児島,2025/05/07,3,11:42,4,5189,藤原早菜,24,岡山,46,B1,4.45,21.88,4.12,18.4,52,31.58,62,34.78,5 322,8
16,児島,2025/05/07,3,11:42,5,4635,峰重力也,35,岡山,54,B1,4.74,28.95,4.70,28.3,47,40.00,46,38.36,3 354,7
16,児島,2025/05/07,3,11:42,6,3685,荒井輝年,51,岡山,56,A2,5.59,36.08,5.56,40.2,15,23.75,52,19.74,5 2636,
16,児島,2025/05/07,4,12:15,1,4536,喜井つか,35,岡山,47,A1,5.76,40.00,5.80,39.4,14,26.03,54,26.67,4 2615,
16,児島,2025/05/07,4,12:15,2,5181,森　智哉,27,岡山,52,B1,4.97,33.33,4.95,32.1,39,46.05,17,30.56,334 41,10
16,児島,2025/05/07,4,12:15,3,4537,渡邉和将,35,岡山,50,A1,7.31,51.02,6.63,47.1,45,26.92,65,48.08,146 53,11
16,児島,2025/05/07,4,12:15,4,3600,玄馬　徹,55,岡山,53,B1,3.81,21.18,4.25,20.1,59,58.97,56,41.18,1 526,9
16,児島,2025/05/07,4,12:15,5,3866,木山誠一,50,岡山,57,B2,4.70,27.91,4.09,24.5,36,35.53,38,29.58,2 652,8
16,児島,2025/05/07,4,12:15,6,4172,森定晃史,42,岡山,52,A1,6.56,50.89,6.19,42.1,55,30.77,53,40.00,21542,10
16,児島,2025/05/07,5,12:50,1,5058,前原大道,28,岡山,53,A2,6.86,46.81,5.85,40.7,48,48.00,30,40.00,221 13,10
16,児島,2025/05/07,5,12:50,2,4065,金田幸子,45,岡山,44,A2,5.97,42.86,5.96,42.7,54,35.44,23,32.88,133 65,10
16,児島,2025/05/07,5,12:50,3,4501,樋口由加,37,岡山,46,B1,5.49,37.76,5.57,42.5,33,22.54,29,34.67,253 63,
16,児島,2025/05/07,5,12:50,4,5217,藤原碧生,25,岡山,52,A1,7.60,61.96,6.30,44.0,53,43.48,22,23.68,614 36,9
16,児島,2025/05/07,5,12:50,5,4713,白神　優,34,岡山,55,A1,6.46,49.53,6.56,44.2,50,24.68,55,36.49,2 4414,11
16,児島,2025/05/07,5,12:50,6,5374,木山大聖,22,岡山,51,B2,1.31,0.00,2.00,0.0,31,30.14,48,29.58,6 665,1
16,児島,2025/05/07,6,13:27,1,4089,妹尾忠幸,44,岡山,56,A1,6.02,39.52,6.46,43.9,56,47.50,31,30.00,65333,
16,児島,2025/05/07,6,13:27,2,4423,坂口貴彦,36,岡山,54,B1,4.96,32.50,4.58,26.3,30,32.88,34,32.43,145 32,11
16,児島,2025/05/07,6,13:27,3,3300,川崎智幸,58,岡山,53,A2,6.10,46.56,5.85,41.6,16,32.91,19,36.07,561 21,11
16,児島,2025/05/07,6,13:27,4,3462,竹上真司,57,岡山,52,B1,3.60,15.00,4.93,40.0,28,25.35,72,24.32,4 561,1
16,児島,2025/05/07,6,13:27,5,3933,山地正樹,48,岡山,57,B1,5.09,34.69,5.83,42.1,20,29.63,21,43.48,454 56,2
16,児島,2025/05/07,6,13:27,6,4214,林　祐介,40,岡山,56,A2,5.55,33.33,5.78,38.1,43,15.58,45,25.00,14126,10
16,児島,2025/05/07,7,14:00,1,4323,山田佑樹,38,岡山,57,A2,5.27,37.00,5.68,38.2,67,45.45,40,40.28,2 2322,11
16,児島,2025/05/07,7,14:00,2,4635,峰重力也,35,岡山,54,B1,4.74,28.95,4.70,28.3,47,40.00,46,38.36,3 354,3
16,児島,2025/05/07,7,14:00,3,3982,福田　理,47,岡山,55,B1,4.21,19.44,4.34,22.3,32,37.33,49,38.24,465 2,2
16,児島,2025/05/07,7,14:00,4,3949,今出晋二,49,岡山,57,B1,3.83,14.08,4.43,17.5,62,26.32,68,25.33,5 164,1
16,児島,2025/05/07,7,14:00,5,3775,泉　啓文,50,岡山,60,B1,4.21,21.35,4.82,25.0,17,29.33,63,40.28,245 46,
16,児島,2025/05/07,7,14:00,6,4482,守屋美穂,36,岡山,46,A1,7.54,64.91,7.09,55.1,19,27.50,37,31.88,366621,11
16,児島,2025/05/07,8,14:34,1,4202,浮田圭浩,42,岡山,52,B1,4.71,29.73,4.56,29.0,58,33.33,66,41.43,534 56,1
16,児島,2025/05/07,8,14:34,2,3866,木山誠一,50,岡山,57,B2,4.70,27.91,4.09,24.5,36,35.53,38,29.58,2 652,4
16,児島,2025/05/07,8,14:34,3,4180,上野秀和,42,福岡,58,B1,4.72,29.73,3.11,11.1,29,32.47,14,27.14,5 446,2
16,児島,2025/05/07,8,14:34,4,4277,金田大輔,41,岡山,51,B1,4.50,26.67,4.57,31.1,26,32.47,47,29.73,624 34,
16,児島,2025/05/07,8,14:34,5,5189,藤原早菜,24,岡山,46,B1,4.45,21.88,4.12,18.4,52,31.58,62,34.78,5 322,3
16,児島,2025/05/07,8,14:34,6,3874,山本寛久,48,岡山,53,A1,6.58,46.30,6.32,43.4,63,25.68,39,39.73,4 2165,
16,児島,2025/05/07,9,15:05,1,5217,藤原碧生,25,岡山,52,A1,7.60,61.96,6.30,44.0,53,43.48,22,23.68,614 36,5
16,児島,2025/05/07,9,15:05,2,4098,赤澤文香,43,岡山,48,B1,4.54,22.81,4.38,17.2,23,35.90,60,34.78,6 334,2
16,児島,2025/05/07,9,15:05,3,3600,玄馬　徹,55,岡山,53,B1,3.81,21.18,4.25,20.1,59,58.97,56,41.18,1 526,4
16,児島,2025/05/07,9,15:05,4,4272,大場広孝,43,福岡,56,B1,5.19,26.36,4.97,20.6,51,36.00,12,35.82,335 41,
16,児島,2025/05/07,9,15:05,5,4234,野相弘司,41,福岡,58,B1,4.78,26.14,4.89,21.0,22,26.92,69,45.59,5 555,3
16,児島,2025/05/07,9,15:05,6,4563,齋藤真之,37,岡山,55,B1,3.46,17.65,4.58,24.5,25,36.00,20,38.67,6 616,1
16,児島,2025/05/07,10,15:36,1,4214,林　祐介,40,岡山,56,A2,5.55,33.33,5.78,38.1,43,15.58,45,25.00,14126,6
16,児島,2025/05/07,10,15:36,2,5058,前原大道,28,岡山,53,A2,6.86,46.81,5.85,40.7,48,48.00,30,40.00,221 13,5
16,児島,2025/05/07,10,15:36,3,4172,森定晃史,42,岡山,52,A1,6.56,50.89,6.19,42.1,55,30.77,53,40.00,21542,4
16,児島,2025/05/07,10,15:36,4,4441,末永由楽,38,岡山,52,A1,6.26,41.32,6.35,43.1,18,25.00,13,30.00,5 2135,3
16,児島,2025/05/07,10,15:36,5,4065,金田幸子,45,岡山,44,A2,5.97,42.86,5.96,42.7,54,35.44,23,32.88,133 65,5
