会場コード,会場,日付,レース,締切時刻,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,M番,M2率,B番,B2率,今節成績,早見
24,大村,2026/03/19,1,17:41,1,3922,菅沼佳昭,50,愛知,50,B1,4.26,23.16,4.12,20.5,44,35.19,66,41.46,6,12
24,大村,2026/03/19,1,17:41,2,4991,宗行治哉,28,広島,52,A2,6.29,42.55,6.31,39.5,50,27.59,46,23.33,22,11
24,大村,2026/03/19,1,17:41,3,4871,菊池宏志,33,山口,54,B1,4.53,25.00,5.00,22.7,41,27.27,74,36.77,2,8
24,大村,2026/03/19,1,17:41,4,4155,長野壮志,45,福岡,57,A1,6.06,45.45,6.74,52.9,46,29.94,45,41.36,1,10
24,大村,2026/03/19,1,17:41,5,3981,今坂晃広,48,静岡,53,B1,4.23,18.18,4.59,22.2,59,37.99,52,45.16,2,6
24,大村,2026/03/19,1,17:41,6,4259,真庭明志,42,長崎,53,A2,5.60,39.09,6.13,44.8,24,32.70,57,28.75,31,7
24,大村,2026/03/19,2,18:08,1,4452,松尾　祭,38,香川,51,A2,5.70,40.37,4.86,28.5,35,26.09,78,34.78,6,11
24,大村,2026/03/19,2,18:08,2,4522,古澤光紀,38,福岡,54,A1,5.55,38.83,6.52,46.4,29,44.94,34,27.67,3,9
24,大村,2026/03/19,2,18:08,3,4552,杉山勝匡,37,佐賀,52,B1,5.44,37.50,5.15,35.4,23,36.25,32,39.10,2,10
24,大村,2026/03/19,2,18:08,4,4468,大池佑来,39,東京,51,A1,6.22,37.72,7.30,55.0,76,30.18,29,36.81,56,7
24,大村,2026/03/19,2,18:08,5,4054,福嶋智之,47,岡山,53,B1,4.12,24.24,0.00,0.0,58,40.96,38,27.85,4,8
24,大村,2026/03/19,2,18:08,6,3880,浅見宗孝,53,埼玉,56,B1,4.98,28.74,4.82,25.6,30,34.94,18,36.59,45,12
24,大村,2026/03/19,3,18:34,1,4100,松田隆司,47,福岡,55,B1,5.10,32.67,5.79,37.5,66,37.27,50,39.74,5,9
24,大村,2026/03/19,3,18:34,2,3737,上平真二,52,広島,52,A1,6.77,44.44,7.63,58.3,74,41.18,51,42.24,43,11
24,大村,2026/03/19,3,18:34,3,4009,小林一樹,46,山口,57,A2,5.24,28.57,6.00,41.1,21,44.51,21,37.04,11,10
24,大村,2026/03/19,3,18:34,4,4665,加藤啓太,42,愛知,53,B1,4.27,16.30,4.42,16.6,37,24.36,16,21.88,4,7
24,大村,2026/03/19,3,18:34,5,5308,藤森拓海,21,福岡,54,B1,3.95,20.48,4.13,13.3,47,35.39,58,35.00,24,
24,大村,2026/03/19,3,18:34,6,3757,畑　和宏,54,広島,53,B1,5.79,36.17,4.69,25.0,34,40.00,53,33.13,1,8
24,大村,2026/03/19,4,19:03,1,4343,村岡　賢,41,広島,54,B1,4.71,20.73,4.26,5.2,11,53.25,70,35.71,4,9
24,大村,2026/03/19,4,19:03,2,4691,水原　慎,42,徳島,50,B1,4.76,26.67,4.63,25.0,27,32.78,69,32.05,55,
