日付,会場,レース番号,枠番,選手名,級別,モーター2連率,進入コース,印,オリジナル1着率,イン逃げ2着率,3着指数,3連対率,平均ST,平均ST順位,展示タイム,展示偏差値,FLY数,FLY影響,出遅れ数,データ不足,決まり手傾向,今節成績,会場別信頼度,3連対指数,3連対補正比,逃げ%,差し%,まくり%,まくり差し%,抜き%,差され%,まくられ%,まくり差され%,イン逃げ評価,相性評価,機力評価,S安定評価,展開評価,相性生スコア,安定性生スコア,展開生スコア,逃げ合成スコア,レースランク,レーススコア,見送り推奨,戦略,会場1C勝率,ヒモ荒れ,両立て判定,飛びタイプ,飛びスコア,3択verdict,脅威合計,1号艇脆弱性,最大脅威艇,買い目,買い目_全,買い目_確率,買い目_シナリオ,点数,点数_全,1号艇1着確率,見送りフラグ,見送り理由,シナリオ種別,展開パターン
2025-02-02,下関,1,1,金子良昭,B1,44.90,1,◎,57.4879,,0,68.6,0.1545,3,,,0,低,103,0,逃0%,126,0,63,0.9004,0.1765,,,,,0.2655,0.4218,0.0235,○,,A,△,,,0.603,,0.4291,A,66,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6071,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0682, 'est_top_odds': 19.6, 'circle_concentration': 74.3, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=57.5%（本命度） / 最有力組み合わせ確率: 0.068（推定実オッズ?20倍） / 2着集中度: 上位2艇 74.3%（補正+0.04） / 総合判定確率: 0.108 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,30.8,逃げ狙い,14.35,40.4,2,,,,,0,0,0.6468,0,,主役軸流し,B
2025-02-02,下関,1,2,新井英孝,A2,35.98,2,▲,18.4791,40.9,76,52.7,0.1531,3.5364,,,0,低,85,0,-,262,0,96.1,1.6698,0,0.087,0,0,0,0.1833,0.0333,0.0667,,○,C,○,,0.3729,0.6085,,0.4291,A,66,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6071,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0682, 'est_top_odds': 19.6, 'circle_concentration': 74.3, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=57.5%（本命度） / 最有力組み合わせ確率: 0.068（推定実オッズ?20倍） / 2着集中度: 上位2艇 74.3%（補正+0.04） / 総合判定確率: 0.108 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,30.8,逃げ狙い,14.35,40.4,2,,,,,,,,,,,
2025-02-02,下関,1,3,原田雄次,B1,38.14,3,△,11.9333,33.4,100,60.9,0.1907,3.9022,,,0,低,136,0,-,4 35,0,47.4,1.204,0,0,0,0.0625,0,0,0.25,0.375,,,C,△,,0.1684,0.5155,,0.4291,A,66,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6071,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0682, 'est_top_odds': 19.6, 'circle_concentration': 74.3, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=57.5%（本命度） / 最有力組み合わせ確率: 0.068（推定実オッズ?20倍） / 2着集中度: 上位2艇 74.3%（補正+0.04） / 総合判定確率: 0.108 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,30.8,逃げ狙い,14.35,40.4,2,,,,,,,,,,,
2025-02-02,下関,1,4,酒井陽祐,B1,29.74,4,,6.784,20.3,98,37.5,0.1729,3.8438,,,0,低,117,0,-,4 12,0,33.1,0.8609,,,,,,0.2222,0,0.3333,,,E,◎,,0.3044,0.62,,0.4291,A,66,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6071,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0682, 'est_top_odds': 19.6, 'circle_concentration': 74.3, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=57.5%（本命度） / 最有力組み合わせ確率: 0.068（推定実オッズ?20倍） / 2着集中度: 上位2艇 74.3%（補正+0.04） / 総合判定確率: 0.108 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,30.8,逃げ狙い,14.35,40.4,2,,,,,,,,,,,
2025-02-02,下関,1,5,泉　具巳,B1,39.39,5,○,2.6629,4.7,91,33.3,0.1482,2.8421,,,0,低,117,0,-,6 23,0,37.2,0.9967,,,,,,0.3238,0.1429,0.1429,,,B,,,0.3933,0.505,,0.4291,A,66,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6071,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0682, 'est_top_odds': 19.6, 'circle_concentration': 74.3, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=57.5%（本命度） / 最有力組み合わせ確率: 0.068（推定実オッズ?20倍） / 2着集中度: 上位2艇 74.3%（補正+0.04） / 総合判定確率: 0.108 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,30.8,逃げ狙い,14.35,40.4,2,,,,,,,,,,,
2025-02-02,下関,1,6,齊藤　廉,B2,32.14,6,,2.6528,0.7,56,18.7,0.1697,3.5561,,,0,低,64,0,-,3 46,0,24.3,0.6419,0,0,0,0.0323,0,0,0.1667,0,,,D,,,0.2933,0.5065,,0.4291,A,66,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6071,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0682, 'est_top_odds': 19.6, 'circle_concentration': 74.3, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=57.5%（本命度） / 最有力組み合わせ確率: 0.068（推定実オッズ?20倍） / 2着集中度: 上位2艇 74.3%（補正+0.04） / 総合判定確率: 0.108 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,30.8,逃げ狙い,14.35,40.4,2,,,,,,,,,,,
2025-02-02,下関,2,1,塩崎優司,B1,40.53,1,◎,62.8677,,0,71.4,0.1321,2.869,,,0,低,128,0,逃0%,3 34,0,78.3,0.9487,0.4667,,,,,0.0533,0.1657,0.0533,◎,,B,,,,0.591,,0.5021,A,70,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6071,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1234, 'est_top_odds': 10.8, 'circle_concentration': 79.6, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=62.9%（本命度） / 最有力組み合わせ確率: 0.123（推定実オッズ?11倍） / 2着集中度: 上位2艇 79.6%（補正+0.04） / 総合判定確率: 0.163 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート超安定(0.132秒)→ヒモ固まり方向に注意'}",,,25.1,逃げ狙い,9.76,28.3,2,,,,,0,0,0.7943,0,,逃げ軸流し,A
2025-02-02,下関,2,2,大田直弥,B1,35.00,2,▲,14.5601,56,100,57.6,0.1718,3.8864,,,0,低,182,0,ま0%,1 45,0,61.5,0.8548,0,0.0714,0.0357,0,0,0.2685,0.3139,0.0148,,,C,△,,0.0639,0.604,,0.5021,A,70,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6071,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1234, 'est_top_odds': 10.8, 'circle_concentration': 79.6, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=62.9%（本命度） / 最有力組み合わせ確率: 0.123（推定実オッズ?11倍） / 2着集中度: 上位2艇 79.6%（補正+0.04） / 総合判定確率: 0.163 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート超安定(0.132秒)→ヒモ固まり方向に注意'}",,,25.1,逃げ狙い,9.76,28.3,2,,,,,,,,,,,
2025-02-02,下関,2,3,樋口範政,B1,30.88,3,,9.3131,23.6,66,32.8,0.1787,3.7388,,,0,低,168,0,-,5 45,0,39.2,0.9371,0,0,0,0.0345,0,0.23,0.278,0.214,,,D,○,,0.1073,0.6175,,0.5021,A,70,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6071,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1234, 'est_top_odds': 10.8, 'circle_concentration': 79.6, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=62.9%（本命度） / 最有力組み合わせ確率: 0.123（推定実オッズ?11倍） / 2着集中度: 上位2艇 79.6%（補正+0.04） / 総合判定確率: 0.163 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート超安定(0.132秒)→ヒモ固まり方向に注意'}",,,25.1,逃げ狙い,9.76,28.3,2,,,,,,,,,,,
2025-02-02,下関,2,4,相馬　翔,B1,31.91,4,△,8.5054,16,75,27.5,0.1832,3.875,,,0,低,69,0,-,342,0,31.1,0.537,0,0.0588,0.0588,0,0,0.3323,0.2123,0.0615,,,D,,,0.1187,0.54,,0.5021,A,70,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6071,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1234, 'est_top_odds': 10.8, 'circle_concentration': 79.6, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=62.9%（本命度） / 最有力組み合わせ確率: 0.123（推定実オッズ?11倍） / 2着集中度: 上位2艇 79.6%（補正+0.04） / 総合判定確率: 0.163 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート超安定(0.132秒)→ヒモ固まり方向に注意'}",,,25.1,逃げ狙い,9.76,28.3,2,,,,,,,,,,,
2025-02-02,下関,2,5,村田　敦,B1,35.39,5,○,3.4868,1.4,38,17.9,0.1291,2.8036,,,0,低,81,0,-,2 45,0,30.2,0.7093,,,,,,0.22,0.02,0.42,,,B,◎,,0.3221,0.6445,,0.5021,A,70,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6071,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1234, 'est_top_odds': 10.8, 'circle_concentration': 79.6, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=62.9%（本命度） / 最有力組み合わせ確率: 0.123（推定実オッズ?11倍） / 2着集中度: 上位2艇 79.6%（補正+0.04） / 総合判定確率: 0.163 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート超安定(0.132秒)→ヒモ固まり方向に注意'}",,,25.1,逃げ狙い,9.76,28.3,2,,,,,,,,,,,
2025-02-02,下関,2,6,竹上真司,B1,32.06,6,,1.2669,3,35,14.9,0.1911,4.6809,,,0,低,108,0,-,654,0,21.6,0.8292,,,,,,0,0,0.2727,,,D,△,,0.135,0.5985,,0.5021,A,70,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6071,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1234, 'est_top_odds': 10.8, 'circle_concentration': 79.6, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=62.9%（本命度） / 最有力組み合わせ確率: 0.123（推定実オッズ?11倍） / 2着集中度: 上位2艇 79.6%（補正+0.04） / 総合判定確率: 0.163 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート超安定(0.132秒)→ヒモ固まり方向に注意'}",,,25.1,逃げ狙い,9.76,28.3,2,,,,,,,,,,,
2025-02-02,下関,3,1,安田政彦,B1,31.03,1,◎,52.983,,0,86,0.1748,3.57,,,0,低,147,0,-,262,0,59.4,0.9229,0.3793,,,,,0.2188,0.3285,0.1918,○,,D,,,,0.5665,,0.3352,A,76,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6071,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0668, 'est_top_odds': 19.9, 'circle_concentration': 67.4, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=53.0%（本命度） / 最有力組み合わせ確率: 0.067（推定実オッズ?20倍） / 2着集中度: 上位2艇 67.4%（補正+0.00） / 総合判定確率: 0.067 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,32.8,逃げ狙い,22.1,39.7,2,,,,,0,0,0.6468,0,,逃げ軸流し,A
2025-02-02,下関,3,2,加藤政彦,A2,32.20,2,▲,19.5268,43.1,100,78.6,0.1401,2.8857,,,0,低,105,0,-,4316,0,100,2.3264,0,0.1333,0.0333,0,0,0.35,0.0667,0.1833,,◎,D,,,0.6108,0.5995,,0.3352,A,76,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6071,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0668, 'est_top_odds': 19.9, 'circle_concentration': 67.4, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=53.0%（本命度） / 最有力組み合わせ確率: 0.067（推定実オッズ?20倍） / 2着集中度: 上位2艇 67.4%（補正+0.00） / 総合判定確率: 0.067 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,32.8,逃げ狙い,22.1,39.7,2,,,,,,,,,,,
2025-02-02,下関,3,3,大澤誠也,B1,40.48,3,,6.2526,24.3,96,43.8,0.1837,3.5104,,,0,低,113,0,-,3 53,0,22.9,0.7165,,,,,,0.159,0.1795,0.0154,,,B,△,,0.3081,0.661,,0.3352,A,76,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6071,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0668, 'est_top_odds': 19.9, 'circle_concentration': 67.4, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=53.0%（本命度） / 最有力組み合わせ確率: 0.067（推定実オッズ?20倍） / 2着集中度: 上位2艇 67.4%（補正+0.00） / 総合判定確率: 0.067 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,32.8,逃げ狙い,22.1,39.7,2,,,,,,,,,,,
2025-02-02,下関,3,4,東　健介,B1,43.33,4,○,10.041,9.4,80,32.6,0.183,3.3587,,,0,低,99,0,-,231,0,80.1,2.8919,0,0.0526,0,0,0,0.0667,0.1556,0.5389,,,A,△,,0.299,0.631,,0.3352,A,76,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6071,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0668, 'est_top_odds': 19.9, 'circle_concentration': 67.4, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=53.0%（本命度） / 最有力組み合わせ確率: 0.067（推定実オッズ?20倍） / 2着集中度: 上位2艇 67.4%（補正+0.00） / 総合判定確率: 0.067 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,32.8,逃げ狙い,22.1,39.7,2,,,,,,,,,,,
2025-02-02,下関,3,5,渡辺浩司,A1,33.98,5,△,7.7671,17.2,81,74.1,0.144,2.7931,,,0,低,46,0,差ま0% 抜0%,3421,0,84,2.1674,0,0,0,0.0476,0.0952,0.1467,0,0.0867,,○,C,◎,◎,0.4327,0.699,0.4614,0.3352,A,76,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6071,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0668, 'est_top_odds': 19.9, 'circle_concentration': 67.4, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=53.0%（本命度） / 最有力組み合わせ確率: 0.067（推定実オッズ?20倍） / 2着集中度: 上位2艇 67.4%（補正+0.00） / 総合判定確率: 0.067 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,32.8,逃げ狙い,22.1,39.7,2,,,,,,,,,,,
2025-02-02,下関,3,6,江本真治,A2,32.67,6,,3.4295,6,71,31.6,0.1886,4.2281,,,0,低,105,0,ま0%,1214,0,30.7,0.7019,0,0,0.05,0,0,0.1156,0.1156,0.1644,,,D,○,,0.2949,0.6785,,0.3352,A,76,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6071,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0668, 'est_top_odds': 19.9, 'circle_concentration': 67.4, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=53.0%（本命度） / 最有力組み合わせ確率: 0.067（推定実オッズ?20倍） / 2着集中度: 上位2艇 67.4%（補正+0.00） / 総合判定確率: 0.067 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,32.8,逃げ狙い,22.1,39.7,2,,,,,,,,,,,
2025-02-02,下関,4,1,久永祥平,B1,37.76,1,◎,61.3749,,0,81,0.126,2.369,,,0,低,66,0,逃1%,414,0,64.2,1.039,0.5789,,,,,0.0421,0.2842,0.0211,◎,,B,△,,,0.5985,,0.6472,A,72,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6071,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1031, 'est_top_odds': 12.9, 'circle_concentration': 78.4, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=61.4%（本命度） / 最有力組み合わせ確率: 0.103（推定実オッズ?13倍） / 2着集中度: 上位2艇 78.4%（補正+0.04） / 総合判定確率: 0.143 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート超安定(0.126秒)→ヒモ固まり方向に注意'}",,,31.8,逃げ狙い,29.82,30.1,6,,,,,0,0,0.7943,0,,逃げ軸流し,A
2025-02-02,下関,4,2,鶴田勇雄,A2,29.13,2,△,10.3057,48.9,100,61.5,0.184,4.1,,,0,低,167,0,差0% 抜0%,153,0,39.5,1.0343,0,0.0323,0,0,0.0323,0.0258,0.3819,0.0387,,,D,△,,0.0555,0.609,,0.6472,A,72,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6071,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1031, 'est_top_odds': 12.9, 'circle_concentration': 78.4, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=61.4%（本命度） / 最有力組み合わせ確率: 0.103（推定実オッズ?13倍） / 2着集中度: 上位2艇 78.4%（補正+0.04） / 総合判定確率: 0.143 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート超安定(0.126秒)→ヒモ固まり方向に注意'}",,,31.8,逃げ狙い,29.82,30.1,6,,,,,,,,,,,
2025-02-02,下関,4,3,数原　魁,B1,24.32,3,▲,14.4832,29.6,97,60.9,0.1607,3.4783,,,0,低,104,0,差0% 差ま0%,563,0,62.4,1.1288,0,0.0526,0,0.1053,0,0.0381,0.0762,0.2095,,,E,○,,0.1293,0.631,,0.6472,A,72,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6071,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1031, 'est_top_odds': 12.9, 'circle_concentration': 78.4, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=61.4%（本命度） / 最有力組み合わせ確率: 0.103（推定実オッズ?13倍） / 2着集中度: 上位2艇 78.4%（補正+0.04） / 総合判定確率: 0.143 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート超安定(0.126秒)→ヒモ固まり方向に注意'}",,,31.8,逃げ狙い,29.82,30.1,6,,,,,,,,,,,
2025-02-02,下関,4,4,森　弘行,B1,32.85,4,,4.3088,7.9,83,24.5,0.1933,4.2449,,,0,低,123,0,-,6 61,0,79.9,0.607,,,,,,0.4263,0.1474,0.1921,,,C,,,0.1364,0.5765,,0.6472,A,72,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6071,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1031, 'est_top_odds': 12.9, 'circle_concentration': 78.4, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=61.4%（本命度） / 最有力組み合わせ確率: 0.103（推定実オッズ?13倍） / 2着集中度: 上位2艇 78.4%（補正+0.04） / 総合判定確率: 0.143 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート超安定(0.126秒)→ヒモ固まり方向に注意'}",,,31.8,逃げ狙い,29.82,30.1,6,,,,,,,,,,,
2025-02-02,下関,4,5,金田大輔,B1,37.63,5,○,7.2264,6,59,33.3,0.1482,2.8947,,,0,低,99,0,-,2 14,0,27.4,0.8029,0,0,0.0333,0.1,0,0.2,0.1,0.1,,,B,,◎,0.2254,0.587,0.4167,0.6472,A,72,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6071,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1031, 'est_top_odds': 12.9, 'circle_concentration': 78.4, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=61.4%（本命度） / 最有力組み合わせ確率: 0.103（推定実オッズ?13倍） / 2着集中度: 上位2艇 78.4%（補正+0.04） / 総合判定確率: 0.143 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート超安定(0.126秒)→ヒモ固まり方向に注意'}",,,31.8,逃げ狙い,29.82,30.1,6,,,,,,,,,,,
2025-02-02,下関,4,6,石川真二,A1,37.11,6,,2.301,7.7,43,100,0.2,5,,,0,低,32,1,-,1211,0,23.9,3.9731,,,,,,0.0353,0.3941,0.2441,,,C,◎,,0.1368,0.6455,,0.6472,A,72,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.6071,"{'is_target': True, 'verdict': '点数絞り', 'max_combo_prob': 0.1031, 'est_top_odds': 12.9, 'circle_concentration': 78.4, 'eligible_count': 8, 'bet_adj': 0, 'reason': 'rel_win1=61.4%（本命度） / 最有力組み合わせ確率: 0.103（推定実オッズ?13倍） / 2着集中度: 上位2艇 78.4%（補正+0.04） / 総合判定確率: 0.143 / → ヒモはやや固め。上位2艇以外を切ること', 'tenji_trigger': '展示確認: 1号艇伸び良→そのまま採用。悪→飛び組に差し替え。circle_pct上位2艇に絞り込むこと。\n展示で1号艇スタート超安定(0.126秒)→ヒモ固まり方向に注意'}",,,31.8,逃げ狙い,29.82,30.1,6,,,,,,,,,,,
2025-02-02,下関,5,1,上平真二,A1,35.48,1,◎,67.773,,0,96.1,0.1575,3.6275,,,0,低,81,0,-,2132,0,84.6,1.0593,0.7083,,,,,0.1533,0.0333,0,◎,,B,△,,,0.6155,,0.4908,S,97,0,◎1着固定 2-3着流し（5〜8点）,0.6071,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0878, 'est_top_odds': 15.2, 'circle_concentration': 68.3, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=67.8%（本命度） / 最有力組み合わせ確率: 0.088（推定実オッズ?15倍） / 2着集中度: 上位2艇 68.3%（補正+0.00） / 総合判定確率: 0.088 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,25.7,逃げ狙い,12.01,28,4,,,,,0,0,0.7943,0,,逃げ軸流し,A
2025-02-02,下関,5,2,齋藤達希,B1,29.83,2,,8.6215,35.8,80,50,0.1716,3.7984,,,0,低,155,0,差0%,535,0,37.6,0.8672,0,0.04,0,0,0,0.0222,0.56,0.1422,,,D,◎,,0.1664,0.6375,,0.4908,S,97,0,◎1着固定 2-3着流し（5〜8点）,0.6071,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0878, 'est_top_odds': 15.2, 'circle_concentration': 68.3, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=67.8%（本命度） / 最有力組み合わせ確率: 0.088（推定実オッズ?15倍） / 2着集中度: 上位2艇 68.3%（補正+0.00） / 総合判定確率: 0.088 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。'}",,,25.7,逃げ狙い,12.01,28,4,,,,,,,,,,,
